iloœc sprawdzanych dni: 27
iloœæ raportów NBP z tych dni (tylko dni pracuj¹ce): 19

Exchange rates: A, 001/A/NBP/2023, 2023-01-02
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1267
 2  dolar amerykañski                    USD      4.3811
 3  dolar australijski                   AUD      2.9767
 4  dolar Hongkongu                      HKD      0.5615
 5  dolar kanadyjski                     CAD      3.2306
 6  dolar nowozelandzki                  NZD      2.7713
 7  dolar singapurski                    SGD      3.2665
 8  euro                                 EUR      4.6784
 9  forint (Wêgry)                       HUF      0.011676
10  frank szwajcarski                    CHF      4.7379
11  funt szterling                       GBP      5.2768
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033469
14  korona czeska                        CZK      0.1936
15  korona duñska                        DKK      0.629
16  korona islandzka                     ISK      0.030881
17  korona norweska                      NOK      0.4448
18  korona szwedzka                      SEK      0.4187
19  lej rumuñski                         RON      0.9463
20  lew (Bu³garia)                       BGN      2.392
21  lira turecka                         TRY      0.234
22  nowy izraelski szekel                ILS      1.2441
23  peso chilijskie                      CLP      0.005165
24  peso filipiñskie                     PHP      0.0785
25  peso meksykañskie                    MXN      0.2246
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2578
27  real (Brazylia)                      BRL      0.8287
28  ringgit (Malezja)                    MYR      0.9946
29  rupia indonezyjska                   IDR      0.00028134
30  rupia indyjska                       INR      0.052945
31  won po³udniowokoreañski              KRW      0.003447
32  yuan renminbi (Chiny)                CNY      0.6355
33  SDR (MFW)                            XDR      5.8589
iloœæ walut: 33

Exchange rates: A, 002/A/NBP/2023, 2023-01-03
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.129
 2  dolar amerykañski                    USD      4.4373
 3  dolar australijski                   AUD      2.9825
 4  dolar Hongkongu                      HKD      0.5679
 5  dolar kanadyjski                     CAD      3.2593
 6  dolar nowozelandzki                  NZD      2.7722
 7  dolar singapurski                    SGD      3.3018
 8  euro                                 EUR      4.68
 9  forint (Wêgry)                       HUF      0.011619
10  frank szwajcarski                    CHF      4.7342
11  funt szterling                       GBP      5.2911
