currency,code,value,date
bat (Tajlandia),THB,0.1251,2022-10-27
dolar amerykański,USD,4.7216,2022-10-27
dolar australijski,AUD,3.0542,2022-10-27
dolar Hongkongu,HKD,0.6018,2022-10-27
dolar kanadyjski,CAD,3.4775,2022-10-27
dolar nowozelandzki,NZD,2.7516,2022-10-27
dolar singapurski,SGD,3.3567,2022-10-27
euro,EUR,4.7504,2022-10-27
forint (Węgry),HUF,0.011651,2022-10-27
frank szwajcarski,CHF,4.7798,2022-10-27
funt szterling,GBP,5.4728,2022-10-27
hrywna (Ukraina),UAH,0.1258,2022-10-27
jen (Japonia),JPY,0.032351,2022-10-27
korona czeska,CZK,0.1936,2022-10-27
korona duńska,DKK,0.6387,2022-10-27
korona islandzka,ISK,0.03315,2022-10-27
korona norweska,NOK,0.4616,2022-10-27
korona szwedzka,SEK,0.4346,2022-10-27
kuna (Chorwacja),HRK,0.6307,2022-10-27
lej rumuński,RON,0.9734,2022-10-27
lew (Bułgaria),BGN,2.4288,2022-10-27
lira turecka,TRY,0.2537,2022-10-27
nowy izraelski szekel,ILS,1.3465,2022-10-27
peso chilijskie,CLP,0.004964,2022-10-27
peso filipińskie,PHP,0.0811,2022-10-27
peso meksykańskie,MXN,0.2367,2022-10-27
rand (Republika Południowej Afryki),ZAR,0.2621,2022-10-27
real (Brazylia),BRL,0.8768,2022-10-27
ringgit (Malezja),MYR,1.0015,2022-10-27
rupia indonezyjska,IDR,0.00030333,2022-10-27
rupia indyjska,INR,0.05735,2022-10-27
won południowokoreański,KRW,0.003328,2022-10-27
yuan renminbi (Chiny),CNY,0.6534,2022-10-27
SDR (MFW),XDR,6.1168,2022-10-27
bat (Tajlandia),THB,0.1254,2022-10-28
dolar amerykański,USD,4.7477,2022-10-28
dolar australijski,AUD,3.0465,2022-10-28
dolar Hongkongu,HKD,0.6049,2022-10-28
dolar kanadyjski,CAD,3.4891,2022-10-28
dolar nowozelandzki,NZD,2.7555,2022-10-28
dolar singapurski,SGD,3.3597,2022-10-28
euro,EUR,4.7199,2022-10-28
forint (Węgry),HUF,0.011455,2022-10-28
frank szwajcarski,CHF,4.7705,2022-10-28
funt szterling,GBP,5.4733,2022-10-28
hrywna (Ukraina),UAH,0.1258,2022-10-28
jen (Japonia),JPY,0.032197,2022-10-28
korona czeska,CZK,0.1927,2022-10-28
korona duńska,DKK,0.6342,2022-10-28
korona islandzka,ISK,0.032937,2022-10-28
korona norweska,NOK,0.4593,2022-10-28
korona szwedzka,SEK,0.4309,2022-10-28
kuna (Chorwacja),HRK,0.6267,2022-10-28
lej rumuński,RON,0.9612,2022-10-28
lew (Bułgaria),BGN,2.4132,2022-10-28
lira turecka,TRY,0.255,2022-10-28
nowy izraelski szekel,ILS,1.3385,2022-10-28
peso chilijskie,CLP,0.005031,2022-10-28
peso filipińskie,PHP,0.0818,2022-10-28
peso meksykańskie,MXN,0.2393,2022-10-28
rand (Republika Południowej Afryki),ZAR,0.2621,2022-10-28
real (Brazylia),BRL,0.8889,2022-10-28
ringgit (Malezja),MYR,1.0053,2022-10-28
rupia indonezyjska,IDR,0.00030529,2022-10-28
rupia indyjska,INR,0.057578,2022-10-28
won południowokoreański,KRW,0.003329,2022-10-28
yuan renminbi (Chiny),CNY,0.6543,2022-10-28
SDR (MFW),XDR,6.0681,2022-10-28
bat (Tajlandia),THB,0.1243,2022-10-31
dolar amerykański,USD,4.734,2022-10-31
dolar australijski,AUD,3.0316,2022-10-31
dolar Hongkongu,HKD,0.6031,2022-10-31
dolar kanadyjski,CAD,3.47,2022-10-31
dolar nowozelandzki,NZD,2.753,2022-10-31
dolar singapurski,SGD,3.3471,2022-10-31
euro,EUR,4.7089,2022-10-31
forint (Węgry),HUF,0.011457,2022-10-31
frank szwajcarski,CHF,4.7376,2022-10-31
funt szterling,GBP,5.4748,2022-10-31
hrywna (Ukraina),UAH,0.1258,2022-10-31
jen (Japonia),JPY,0.031897,2022-10-31
